fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Village artisanal,120.0,0.3867,9.4469,dico:village artisanal
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Ecole d'Okala,120.0,0.4824,9.4041,dico:ecole d okala
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Derrière l'aéroport,120.0,0.4615,9.4101,dico:derriere l aeroport
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Kiliba,120.0,0.4824,9.4041,dico:kiliba
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Okala Carrière,120.0,0.4824,9.4041,dico:okala carriere
planning_01_02_2026.JPG,01/02/2026,15h30,17h30,Cimetière Sekiani,120.0,0.38,9.471,dico:cimetiere sekiani
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Lac bleu,120.0,0.4332,9.4454,dico:lac bleu
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Nouvelle cité,120.0,0.4316,9.4736,dico:nouvelle cite
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Lycée Koweit,120.0,0.429,9.4714,dico:lycee koweit
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Fin goudron,120.0,0.429,9.4714,dico:fin goudron
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Chantier Moderne,120.0,0.429,9.4714,dico:chantier moderne
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Carrefour GP,120.0,0.429,9.4714,dico:carrefour gp
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Montalier,120.0,0.4328,9.5045,dico:montalier
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Milong-Nsi,120.0,0.4328,9.5045,dico:milong-nsi
planning_01_02_2026.JPG,01/02/2026,17h30,19h30,Dragage,120.0,0.4363,9.4795,dico:dragage
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Awendjé,120.0,0.3861,9.4771,dico:awendje
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Z.I.Oloumi,120.0,0.38,9.471,patch:Z.I.Oloumi
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,CEDOC,120.0,0.38,9.471,dico:cedoc
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,TABELEC,120.0,0.38,9.471,dico:tabelec
